,box date,month,wkday,game type,game count,list of games
,2019-04-09,Apr,Tue,Regular Season,14,TEX-ARI ... MIA-CIN ... ATL-COL ... MIN-NYN ... WAS-PHI ... SDN-SFN ... LAN-SLN ... MIL-ANA ... OAK-BAL ... TOR-BOS ... TBA-CHA ... CLE-DET ... NYA-HOU ... SEA-KCA
,2019-04-10,Apr,Wed,Regular Season,13,TEX-ARI ... PIT-CHN ... MIA-CIN ... MIN-NYN ... WAS-PHI ... SDN-SFN ... LAN-SLN ... MIL-ANA ... OAK-BAL ... TBA-CHA ... CLE-DET ... NYA-HOU ... SEA-KCA
,2019-04-11,Apr,Thu,Regular Season,10,SDN-ARI ... NYN-ATL ... PIT-CHN ... MIA-CIN ... COL-SFN ... LAN-SLN ... OAK-BAL ... TOR-BOS ... CLE-DET ... SEA-KCA
,2019-04-12,Apr,Fri,Regular Season,13,SDN-ARI ... NYN-ATL ... ANA-CHN ... MIL-LAN ... PHI-MIA ... COL-SFN ... PIT-WAS ... BAL-BOS ... CLE-KCA ... CHA-NYA ... HOU-SEA ... OAK-TEX ... TBA-TOR
,2019-04-13,Apr,Sat,Regular Season,14,SDN-ARI ... NYN-ATL ... ANA-CHN ... SLN-CIN ... MIL-LAN ... PHI-MIA ... COL-SFN ... PIT-WAS ... BAL-BOS ... CLE-KCA ... DET-MIN ... CHA-NYA ... HOU-SEA ... TBA-TOR
,2019-04-14,Apr,Sun,Regular Season,14,SDN-ARI ... NYN-ATL ... SLN-CIN ... MIL-LAN ... PHI-MIA ... COL-SFN ... PIT-WAS ... BAL-BOS ... CLE-KCA ... DET-MIN ... CHA-NYA ... HOU-SEA ... OAK-TEX ... TBA-TOR
,2019-04-15,Apr,Mon,Regular Season,10,CIN-LAN ... CHN-MIA ... SLN-MIL ... NYN-PHI ... COL-SDN ... BAL-BOS ... KCA-CHA ... TOR-MIN ... CLE-SEA ... ANA-TEX
,2019-04-16,Apr,Tue,Regular Season,15,ARI-ATL ... CIN-LAN ... CHN-MIA ... SLN-MIL ... NYN-PHI ... COL-SDN ... SFN-WAS ... KCA-CHA ... PIT-DET ... TOR-MIN ... BOS-NYA ... HOU-OAK ... CLE-SEA ... BAL-TBA ... ANA-TEX
,2019-04-17,Apr,Wed,Regular Season,14,ARI-ATL ... CIN-LAN ... CHN-MIA ... SLN-MIL ... NYN-PHI ... SFN-WAS ... KCA-CHA ... PIT-DET ... TOR-MIN ... BOS-NYA ... HOU-OAK ... CLE-SEA ... BAL-TBA ... ANA-TEX
,2019-04-18,Apr,Thu,Regular Season,10,ARI-ATL ... PHI-COL ... LAN-MIL ... CIN-SDN ... SFN-WAS ... SEA-ANA ... CHA-DET ... TOR-MIN ... KCA-NYA ... BAL-TBA
,2019-04-19,Apr,Fri,Regular Season,13,ARI-CHN ... PHI-COL ... WAS-MIA ... LAN-MIL ... SFN-PIT ... CIN-SDN ... NYN-SLN ... SEA-ANA ... CHA-DET ... KCA-NYA ... TOR-OAK ... BOS-TBA ... HOU-TEX
